Type	POS	Headword	Rank	Freq_Tar	Freq_Ref	Range_Tar	Range_Ref	NormFreq_Tar	NormFreq_Ref	NormRange_Tar	NormRange_Ref	Keyness (Likelihood)	Keyness (Effect)
花束	None	None	334	11	0	2	0	123.262	0.000	0.500	0.000	23.190	0.000
空气霜	None	None	334	11	0	1	0	123.262	0.000	0.250	0.000	23.190	0.000
华夫	None	None	334	11	0	2	0	123.262	0.000	0.500	0.000	23.190	0.000
卫生巾	None	None	334	11	0	2	0	123.262	0.000	0.500	0.000	23.190	0.000
粉	None	None	350	21	5	3	3	235.318	29.975	0.750	0.300	23.100	0.000
杯	None	None	351	37	19	3	7	414.608	113.903	0.750	0.700	22.545	0.001
精灵	None	None	352	22	6	2	2	246.523	35.969	0.500	0.200	22.426	0.000
马上	None	None	353	46	29	3	7	515.458	173.853	0.750	0.700	21.747	0.001
夏天	None	None	354	60	45	3	8	672.337	269.771	0.750	0.800	21.649	0.001
有名	None	None	355	17	3	4	2	190.495	17.985	1.000	0.200	21.501	0.000
画	None	None	356	24	8	4	2	268.935	47.959	1.000	0.200	21.463	0.001
黑色	None	None	357	20	5	3	5	224.112	29.975	0.750	0.500	21.428	0.000
页领	None	None	358	10	0	1	0	112.056	0.000	0.250	0.000	21.081	0.000
拍立	None	None	358	10	0	2	0	112.056	0.000	0.500	0.000	21.081	0.000
泡泡	None	None	358	10	0	3	0	112.056	0.000	0.750	0.000	21.081	0.000
毛戈平	None	None	358	10	0	1	0	112.056	0.000	0.250	0.000	21.081	0.000
毛膏	None	None	358	10	0	1	0	112.056	0.000	0.250	0.000	21.081	0.000
心里话	None	None	358	10	0	3	0	112.056	0.000	0.750	0.000	21.081	0.000
涂抹式	None	None	358	10	0	1	0	112.056	0.000	0.250	0.000	21.081	0.000
新品	None	None	358	10	0	2	0	112.056	0.000	0.500	0.000	21.081	0.000
尾款	None	None	358	10	0	1	0	112.056	0.000	0.250	0.000	21.081	0.000
金条	None	None	358	10	0	1	0	112.056	0.000	0.250	0.000	21.081	0.000
唇	None	None	358	10	0	2	0	112.056	0.000	0.500	0.000	21.081	0.000
升送	None	None	358	10	0	2	0	112.056	0.000	0.500	0.000	21.081	0.000
资生堂	None	None	358	10	0	2	0	112.056	0.000	0.500	0.000	21.081	0.000
钻石	None	None	358	10	0	3	0	112.056	0.000	0.750	0.000	21.081	0.000
黛白金	None	None	358	10	0	1	0	112.056	0.000	0.250	0.000	21.081	0.000
奶泡	None	None	358	10	0	1	0	112.056	0.000	0.250	0.000	21.081	0.000
立减	None	None	358	10	0	2	0	112.056	0.000	0.500	0.000	21.081	0.000
台	None	None	375	13	1	1	1	145.673	5.995	0.250	0.100	21.058	0.000
巧克力	None	None	376	15	2	3	2	168.084	11.990	0.750	0.200	21.021	0.000
吸收	None	None	376	15	2	2	1	168.084	11.990	0.500	0.100	21.021	0.000
遮	None	None	376	15	2	1	2	168.084	11.990	0.250	0.200	21.021	0.000
十一	None	None	376	15	2	3	1	168.084	11.990	0.750	0.100	21.021	0.000
猫	None	None	380	21	6	2	3	235.318	35.969	0.500	0.300	20.810	0.000
哇	None	None	381	79	70	4	10	885.243	419.644	1.000	1.000	20.529	0.002
贵	None	None	382	63	50	4	9	705.954	299.746	1.000	0.900	20.517	0.001
往下	None	None	383	18	4	2	3	201.701	23.980	0.500	0.300	20.513	0.000
花	None	None	384	51	36	4	7	571.486	215.817	1.000	0.700	20.364	0.001
只有	None	None	385	99	97	4	10	1109.356	581.507	1.000	1.000	20.154	0.002
最	None	None	386	96	93	4	10	1075.739	557.527	1.000	1.000	20.133	0.002
